gait_cycle_pct,VL_cv_pct,VL_mean,VL_sd,TA_cv_pct,TA_mean,TA_sd,ST_cv_pct,ST_mean,ST_sd,GM_cv_pct,GM_mean,GM_sd
71,83.01333,0.11180646,0.09281426,19.813652,0.7156976,0.14180583,63.1396,0.16872492,0.106532246,74.75416,0.08043819,0.060130887
72,82.636024,0.110720575,0.09149508,19.003191,0.7376303,0.14017329,63.09663,0.16878091,0.10649507,74.3816,0.08044998,0.059839986
73,82.583466,0.10962439,0.09053162,18.643284,0.75515336,0.14078538,62.730972,0.1687243,0.1058424,74.24748,0.08027235,0.0596002
74,82.10071,0.108370066,0.08897259,18.560806,0.7655991,0.14210136,62.13633,0.16904671,0.10503942,74.134384,0.0801247,0.05939995
75,81.78714,0.107500754,0.08792179,18.654102,0.7710528,0.14383297,60.89279,0.17026635,0.103679925,74.22085,0.07986839,0.059279
76,81.90344,0.10715331,0.08776225,18.95684,0.7691668,0.14580972,59.056526,0.17220663,0.10169925,74.142204,0.07937919,0.058853485
77,81.37854,0.10663018,0.08677408,19.455708,0.76295316,0.14843793,57.11833,0.17627913,0.10068768,75.06477,0.07899959,0.05930086
78,80.77634,0.10625057,0.08582532,20.204638,0.74871475,0.1512751,54.848957,0.18505926,0.10150308,75.9654,0.07886222,0.059908
79,80.20881,0.106414326,0.085353665,21.142845,0.7308862,0.15453014,52.38189,0.19701958,0.10320258,77.46442,0.07859444,0.06088272
80,79.8289,0.10800561,0.0862197,22.329897,0.70717907,0.15791236,50.380604,0.21359617,0.10761104,78.07932,0.07799776,0.060900122
81,79.01614,0.110535406,0.08734082,23.824884,0.679658,0.16192773,48.796886,0.23511443,0.11472852,78.35494,0.077364825,0.060619164
82,77.55949,0.1150174,0.089206904,25.159376,0.64907867,0.16330415,46.760906,0.2641595,0.12352338,78.728676,0.07655758,0.060272764
83,74.94958,0.12136375,0.09096162,26.527536,0.6194314,0.16431989,44.658833,0.298536,0.13332269,79.037285,0.075748436,0.05986951
84,71.978645,0.13102368,0.09430907,27.785244,0.5907906,0.16415262,41.723663,0.33547422,0.13997214,79.26347,0.0750525,0.059489217
85,68.12664,0.14366086,0.09787131,28.566805,0.56166303,0.16044918,39.116375,0.37617198,0.14714484,79.68462,0.07438244,0.059271365
86,64.344215,0.161082,0.10364695,28.952234,0.53745687,0.15560578,36.239326,0.41848832,0.15165734,80.207695,0.07390007,0.059273537
87,59.65649,0.1833487,0.109379396,29.280918,0.519829,0.1522107,33.426304,0.46292222,0.15473779,80.5335,0.073786266,0.05942266
88,55.020924,0.209462,0.11524792,29.36012,0.5085109,0.14929941,30.620789,0.5096993,0.15607394,79.50304,0.07392382,0.05877168
89,50.70976,0.23912184,0.12125811,28.417482,0.5044663,0.14335662,27.808493,0.5570548,0.15490855,79.760376,0.07397826,0.059005342
90,46.53998,0.27359167,0.12732951,27.435907,0.5072381,0.13916537,25.5571,0.603329,0.1541934,79.29342,0.07403331,0.05870354
91,42.331825,0.3100593,0.13125376,26.104753,0.51800716,0.13522449,23.402042,0.64531034,0.1510158,79.290825,0.07438391,0.05897961
92,38.24268,0.35364002,0.13524142,24.233406,0.5371502,0.1301698,21.543762,0.68252826,0.14704226,79.120995,0.07480829,0.059189063
93,34.715633,0.40111077,0.13924813,22.399824,0.56097984,0.1256585,19.306753,0.71718985,0.13846608,79.20654,0.07551369,0.059811786
94,31.34591,0.45286313,0.14195406,20.772673,0.5914218,0.12285411,17.154455,0.7485022,0.12840147,79.35058,0.076634005,0.060809527
95,28.203592,0.5040849,0.14217004,18.605165,0.62535226,0.11634782,14.926903,0.7760143,0.11583491,79.31782,0.07847592,0.06224539
96,25.079159,0.5565843,0.13958666,16.678272,0.65932065,0.10996329,12.810594,0.798738,0.10232308,78.45061,0.08046708,0.063126914
97,22.265066,0.6088794,0.1355674,15.394567,0.6941162,0.106856175,10.903128,0.81592846,0.08896172,77.56561,0.08266892,0.06412266
98,19.737772,0.65799755,0.12987405,14.290169,0.7246064,0.103547476,9.173515,0.8299101,0.07613193,77.081245,0.085411206,0.06583602
99,17.335718,0.7036007,0.12197424,13.483914,0.751911,0.10138704,8.092289,0.8364887,0.06769108,77.1225,0.088555776,0.068296425
100,15.36798,0.74676275,0.11476235,12.958191,0.77116376,0.09992888,7.8171024,0.83779687,0.06549144,76.09527,0.09157835,0.06968679
