filename,subject,trial,step,pass,reasons
S017_Trial04_Step01.csv,S017,4,1,True,PASS
S017_Trial04_Step02.csv,S017,4,2,True,PASS
S017_Trial05_Step01.csv,S017,5,1,True,PASS
S017_Trial05_Step02.csv,S017,5,2,True,PASS
S018_Trial01_Step01.csv,S018,1,1,True,PASS
S018_Trial01_Step02.csv,S018,1,2,True,PASS
S018_Trial02_Step01.csv,S018,2,1,True,PASS
S018_Trial02_Step02.csv,S018,2,2,True,PASS
S018_Trial03_Step01.csv,S018,3,1,True,PASS
S018_Trial03_Step02.csv,S018,3,2,True,PASS
S018_Trial04_Step01.csv,S018,4,1,True,PASS
S018_Trial04_Step02.csv,S018,4,2,True,PASS
S018_Trial05_Step01.csv,S018,5,1,True,PASS
S018_Trial05_Step02.csv,S018,5,2,True,PASS
S019_Trial01_Step01.csv,S019,1,1,True,PASS
S019_Trial01_Step02.csv,S019,1,2,True,PASS
S019_Trial02_Step01.csv,S019,2,1,True,PASS
S019_Trial02_Step02.csv,S019,2,2,True,PASS
S019_Trial03_Step01.csv,S019,3,1,True,PASS
S019_Trial03_Step02.csv,S019,3,2,True,PASS
S019_Trial04_Step01.csv,S019,4,1,True,PASS
S019_Trial04_Step02.csv,S019,4,2,True,PASS
S019_Trial05_Step01.csv,S019,5,1,True,PASS
S019_Trial05_Step02.csv,S019,5,2,True,PASS
S020_Trial01_Step01.csv,S020,1,1,True,PASS
S020_Trial01_Step02.csv,S020,1,2,True,PASS
S020_Trial02_Step01.csv,S020,2,1,True,PASS
S020_Trial02_Step02.csv,S020,2,2,True,PASS
S020_Trial03_Step01.csv,S020,3,1,True,PASS
S020_Trial04_Step01.csv,S020,4,1,True,PASS
S020_Trial05_Step01.csv,S020,5,1,True,PASS
S021_Trial01_Step01.csv,S021,1,1,True,PASS
S021_Trial01_Step02.csv,S021,1,2,True,PASS
S021_Trial02_Step01.csv,S021,2,1,True,PASS
S021_Trial02_Step02.csv,S021,2,2,True,PASS
S021_Trial03_Step01.csv,S021,3,1,True,PASS
S021_Trial03_Step02.csv,S021,3,2,True,PASS
S021_Trial04_Step01.csv,S021,4,1,True,PASS
S021_Trial04_Step02.csv,S021,4,2,True,PASS
S021_Trial05_Step01.csv,S021,5,1,True,PASS
S021_Trial05_Step02.csv,S021,5,2,True,PASS
S022_Trial01_Step01.csv,S022,1,1,True,PASS
S022_Trial01_Step02.csv,S022,1,2,True,PASS
S022_Trial02_Step01.csv,S022,2,1,True,PASS
S022_Trial02_Step02.csv,S022,2,2,True,PASS
S022_Trial03_Step01.csv,S022,3,1,True,PASS
S022_Trial03_Step02.csv,S022,3,2,True,PASS
S022_Trial04_Step01.csv,S022,4,1,True,PASS
S022_Trial04_Step02.csv,S022,4,2,True,PASS
S022_Trial05_Step01.csv,S022,5,1,True,PASS
S022_Trial05_Step02.csv,S022,5,2,True,PASS
S023_Trial01_Step01.csv,S023,1,1,True,PASS
S023_Trial01_Step02.csv,S023,1,2,True,PASS
S023_Trial02_Step01.csv,S023,2,1,True,PASS
S023_Trial02_Step02.csv,S023,2,2,True,PASS
S023_Trial03_Step01.csv,S023,3,1,True,PASS
S023_Trial03_Step02.csv,S023,3,2,True,PASS
S023_Trial04_Step01.csv,S023,4,1,True,PASS
S023_Trial04_Step02.csv,S023,4,2,True,PASS
S023_Trial05_Step01.csv,S023,5,1,True,PASS
S024_Trial01_Step01.csv,S024,1,1,True,PASS
S024_Trial01_Step02.csv,S024,1,2,True,PASS
S024_Trial02_Step01.csv,S024,2,1,True,PASS
S024_Trial02_Step02.csv,S024,2,2,True,PASS
S024_Trial03_Step01.csv,S024,3,1,True,PASS
S024_Trial03_Step02.csv,S024,3,2,True,PASS
S024_Trial04_Step01.csv,S024,4,1,True,PASS
S024_Trial04_Step02.csv,S024,4,2,True,PASS
S024_Trial05_Step01.csv,S024,5,1,True,PASS
S024_Trial05_Step02.csv,S024,5,2,True,PASS
S025_Trial01_Step01.csv,S025,1,1,True,PASS
S025_Trial01_Step02.csv,S025,1,2,True,PASS
S025_Trial02_Step01.csv,S025,2,1,True,PASS
S025_Trial02_Step02.csv,S025,2,2,True,PASS
S025_Trial03_Step01.csv,S025,3,1,True,PASS
