filename,file_path,subject,trial,step,sha256,n_rows,n_cols,nan_count,inf_count,missing_pct,global_min,global_max,VL_mean,VL_std,VL_min,VL_max,TA_mean,TA_std,TA_min,TA_max,ST_mean,ST_std,ST_min,ST_max,GM_mean,GM_std,GM_min,GM_max
S004_Trial02_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S004_Trial02_Step01.csv,S004,2,1,5264df841587a639be91e213fa00959b19203098de1145e07f43e40510f58433,101,4,0,0,0.0,0.0106896805643615,0.502434517642779,0.047515,0.047186,0.01069,0.148497,0.075354,0.045927,0.020338,0.179053,0.036327,0.015575,0.015113,0.065639,0.147478,0.181138,0.012585,0.502435
S004_Trial02_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S004_Trial02_Step02.csv,S004,2,2,f1d61c7cf7f478f0df8210b232021edc924743930ac19b985a25ae3d19f6f1b5,101,4,0,0,0.0,0.0108231169329317,0.409156743766473,0.055029,0.058748,0.011904,0.195105,0.051407,0.02825,0.018792,0.113411,0.038197,0.013208,0.015278,0.055765,0.102456,0.130516,0.010823,0.409157
S004_Trial03_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S004_Trial03_Step01.csv,S004,3,1,5bc2af74efe2c8cbc0cad47a16d037df8c505385b15f50cbd20ae7b589459d58,101,4,0,0,0.0,0.0096884638574833,0.545152353509912,0.051708,0.058795,0.010858,0.184653,0.052191,0.030561,0.015358,0.108864,0.03336,0.012261,0.018529,0.058717,0.131719,0.178409,0.009688,0.545152
S004_Trial03_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S004_Trial03_Step02.csv,S004,3,2,4bda021f1253f0efd543adb7da7fdff39d229e69a9788bd8fb7976709bafb9fa,101,4,0,0,0.0,0.0090381175939911,0.39594382265362,0.047446,0.054607,0.00953,0.185663,0.05027,0.029129,0.010538,0.103617,0.034263,0.011049,0.017702,0.058956,0.110445,0.1329,0.009038,0.395944
S004_Trial04_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S004_Trial04_Step01.csv,S004,4,1,efc8dd3e1b4dedb891977f318968cd5419fe75efc325895b394362d072145690,101,4,0,0,0.0,0.0110462298635124,0.524295650002126,0.059501,0.065861,0.011046,0.206299,0.06797,0.04456,0.014564,0.174431,0.043735,0.014523,0.022747,0.077603,0.129419,0.168906,0.01126,0.524296
S004_Trial04_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S004_Trial04_Step02.csv,S004,4,2,15a405f58b667e42e20a954cb99a86a07220ebcb67df979ab3231722bcbd38ca,101,4,0,0,0.0,0.0102533895408455,0.397217350174042,0.058873,0.061585,0.011652,0.193439,0.089401,0.068539,0.021052,0.268998,0.046679,0.017589,0.017867,0.088532,0.101182,0.124913,0.010253,0.397217
S004_Trial05_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S004_Trial05_Step01.csv,S004,5,1,f7c5b367d4da2a0b265706a62887b1b3c16f2fb86215bf6c07fda7f09af88c72,101,4,0,0,0.0,0.0084945093172747,0.482820459397145,0.048963,0.053914,0.008801,0.186379,0.062736,0.037187,0.022306,0.130875,0.037796,0.013112,0.019764,0.061449,0.120386,0.162026,0.008495,0.48282
S004_Trial05_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S004_Trial05_Step02.csv,S004,5,2,3db006b99593723adff5f3f6a1a54bdc8ad93ed828c5f90db29177e475d7eeec,101,4,0,0,0.0,0.0092948662658156,0.353122766933317,0.053865,0.068662,0.009295,0.222736,0.066983,0.040246,0.016964,0.137419,0.039099,0.013818,0.02239,0.070671,0.110718,0.127502,0.009676,0.353123
S005_Trial01_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S005_Trial01_Step01.csv,S005,1,1,4da48f7fa3d79607bd60a0e59940b9b6133bb7589bf72ce423e52407695536b4,101,4,0,0,0.0,0.0083295308284022,0.726131594798901,0.192449,0.205724,0.01683,0.726132,0.117134,0.058718,0.029805,0.221856,0.068525,0.049781,0.012043,0.180696,0.056426,0.077806,0.00833,0.258968
S005_Trial01_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S005_Trial01_Step02.csv,S005,1,2,6a726d1af24ec3b0feb54f36d7872e1e001a709508e971bff3a20d4e21cb9a13,101,4,0,0,0.0,0.0078248070813996,0.30321559168303,0.099419,0.06812,0.024248,0.282103,0.118891,0.081604,0.024038,0.287901,0.05977,0.045608,0.011139,0.178767,0.080347,0.102633,0.007825,0.303216
